Timestamp [ms][dev]	Gyr.X	Gyr.Y	Gyr.Z	Axl.X	Axl.Y	Axl.Z	Mag.X	Mag.Y	Mag.Z	Temp	Hum
1740136868316	1.54875	6.55375	4.29625	-108.092	-273.036	984.174	-272.1426	-149.3715	-581.7012	24.954	17.37029
1740136868317	3.115	3.50875	2.4675	-106.018	-268.034	988.566	-271.2657	-151.71	-586.5244	24.954	17.37029
1740136868317	3.115	3.50875	2.4675	-106.018	-268.034	988.566	-271.2657	-151.71	-586.5244	24.954	17.37029
1740136868318	1.995	-0.035	2.2225	-103.09	-273.158	983.442	-272.7273	-147.91	-582.5782	24.954	17.37029
1740136868318	1.995	-0.035	2.2225	-103.09	-273.158	983.442	-272.7273	-147.91	-582.5782	24.954	17.37029
1740136868318	4.05125	0.5775	4.41	-97.356	-269.132	982.466	-272.7273	-147.91	-582.5782	24.954	17.37029
1740136868319	4.05125	0.5775	4.41	-97.356	-269.132	982.466	-268.3426	-148.7869	-587.109	24.954	17.37029
1740136868319	1.39125	3.07125	3.91125	-105.774	-265.838	984.418	-268.3426	-148.7869	-587.109	24.954	17.37029
1740136868319	1.39125	3.07125	3.91125	-105.774	-265.838	984.418	-268.3426	-148.7869	-587.109	24.954	17.37029
1740136868320	3.745	-1.75	1.81125	-100.162	-267.668	988.078	-271.2657	-149.6638	-580.0935	24.954	17.37029
1740136868320	3.745	-1.75	1.81125	-100.162	-267.668	988.078	-271.2657	-149.6638	-580.0935	24.954	17.37029
1740136868320	2.37125	5.55625	3.12375	-96.136	-272.914	979.172	-271.2657	-149.6638	-580.0935	24.954	17.37029
1740136868321	2.37125	5.55625	3.12375	-96.136	-272.914	979.172	-268.3426	-150.2485	-586.5244	24.954	17.37029
1740136868321	2.7825	-3.6925	4.025	-94.062	-269.986	982.71	-268.3426	-150.2485	-586.5244	24.954	17.37029
1740136868321	2.7825	-3.6925	4.025	-94.062	-269.986	982.71	-268.3426	-150.2485	-586.5244	24.954	17.37029
1740136868321	3.99	7.30625	3.07125	-95.404	-260.592	982.344	-266.5887	-147.6176	-579.2166	24.954	17.37029
1740136868322	3.99	7.30625	3.07125	-95.404	-260.592	982.344	-266.5887	-147.6176	-579.2166	24.954	17.37029
1740136868322	1.63625	-4.1125	1.72375	-97.966	-267.058	977.952	-266.5887	-147.6176	-579.2166	24.954	17.37029
1740136868322	1.63625	-4.1125	1.72375	-97.966	-267.058	977.952	-265.7118	-152.2946	-579.8012	24.954	17.37029
1740136868323	4.43625	7.7175	3.61375	-90.036	-264.862	977.83	-265.7118	-152.2946	-579.8012	24.954	17.37029
1740136868323	4.43625	7.7175	3.61375	-90.036	-264.862	977.83	-265.7118	-152.2946	-579.8012	24.954	17.37029
1740136868323	1.715	-3.47375	4.24375	-87.108	-271.084	972.828	-273.6042	-154.3408	-574.978	24.954	17.37029
1740136868324	1.715	-3.47375	4.24375	-87.108	-271.084	972.828	-273.6042	-154.3408	-574.978	24.954	17.37029
1740136868324	4.27	7.69125	2.30125	-85.278	-272.304	973.56	-273.6042	-154.3408	-574.978	24.954	17.37029
1740136868324	4.27	7.69125	2.30125	-85.278	-272.304	973.56	-270.6811	-153.7562	-584.1859	24.954	17.37029
1740136868325	2.40625	-2.00375	2.30125	-85.766	-271.816	975.756	-270.6811	-153.7562	-584.1859	24.954	17.37029
1740136868325	2.40625	-2.00375	2.30125	-85.766	-271.816	975.756	-270.6811	-153.7562	-584.1859	24.954	17.37029
1740136868325	3.42125	6.72875	4.38375	-90.89	-269.498	975.268	-272.7273	-158.1409	-580.0935	24.954	17.37029
1740136868326	3.42125	6.72875	4.38375	-90.89	-269.498	975.268	-272.7273	-158.1409	-580.0935	24.954	17.37029
1740136868326	3.66625	0.46375	3.3425	-86.742	-272.67	980.758	-272.7273	-158.1409	-580.0935	24.954	17.37029
1740136868326	3.66625	0.46375	3.3425	-86.742	-272.67	980.758	-273.6042	-146.7407	-583.4551	24.954	17.37029
1740136868327	2.40625	5.145	1.96875	-84.546	-265.96	973.194	-273.6042	-146.7407	-583.4551	24.954	17.37029
