Timestamp [ms][dev],Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740486631146,-23.6775,-7.6825,6.23875,-471.53,-894.26,-139.446,230.6343,113.1248,-268.4887,23.12505,19.96762
1740486631147,-23.6775,-7.6825,6.23875,-469.09,-895.114,-129.686,222.4496,110.494,-267.9041,23.12505,19.96762
1740486631149,-23.765,-7.13125,5.845,-472.506,-904.264,-131.76,226.5419,109.0324,-263.3733,23.12505,19.96762
1740486631150,-23.7825,-6.6675,6.23875,-486.902,-904.264,-135.664,218.0649,114.2941,-268.0503,23.12505,19.96762
1740486631151,-24.00125,-6.195,5.4775,-484.95,-896.822,-132.37,222.4496,114.5864,-264.981,23.12505,19.96762
1740486631152,-24.43,-5.94125,5.48625,-482.51,-896.822,-127.246,227.7112,112.5402,-273.8965,23.12505,19.96762
1740486631154,-24.5175,-5.635,4.97875,-468.602,-892.674,-126.392,223.0342,112.2479,-272.1426,23.12505,19.96762
1740486631155,-24.56125,-5.39875,4.4275,-461.404,-898.53,-124.806,217.1879,114.8787,-273.6042,23.12505,19.96762
1740486631156,-24.71875,-4.9,3.92875,-455.548,-898.53,-117.12,218.6495,114.8787,-259.1347,23.12505,19.96762
1740486631158,-24.66625,-4.4625,3.1325,-424.56,-897.432,-122.854,221.5726,115.4633,-267.9041,23.12505,19.96762
1740486631159,-25.0425,-3.92,2.44125,-404.552,-880.108,-100.894,215.1418,111.6633,-256.6501,23.12505,19.96762
1740486631160,-25.43625,-3.07125,1.05875,-391.254,-880.108,-111.02,216.0187,119.848,-262.0579,23.12505,19.96762
1740486631161,-25.3925,-2.45875,0.34125,-385.52,-876.814,-125.416,216.6033,116.3402,-263.8117,23.12505,19.96762
1740486631163,-26.03125,-1.44375,-0.58625,-390.522,-870.592,-134.566,220.1111,111.3709,-254.0193,23.12505,19.96762
1740486631164,-26.45125,-0.58625,-1.155,-394.914,-879.132,-118.218,221.2803,114.0017,-264.6887,23.12505,19.96762
