Timestamp [ms][dev],Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740486669539,-2.63375,33.2675,-4.34,-518.256,-956.602,-215.33,213.3879,123.9404,-245.5422,22.90611,19.86845
1740486669540,-2.03,33.2675,-4.01625,-518.378,-948.184,-217.648,210.7571,122.1865,-238.0883,22.90611,19.86845
1740486669541,-1.63625,33.29375,-4.1825,-523.624,-950.136,-222.772,208.7109,124.8173,-235.6036,22.90611,19.86845
1740486669542,-1.46125,33.285,-3.64,-532.164,-952.454,-222.528,211.634,121.6019,-240.2806,22.90611,19.86845
1740486669543,-1.015,33.08375,-3.61375,-532.042,-944.646,-217.648,217.1879,117.2172,-240.7191,22.90611,19.86845
1740486669545,-0.83125,32.83875,-3.21125,-525.088,-935.618,-215.208,215.1418,127.4481,-234.7267,22.90611,19.86845
1740486669546,-0.51625,32.66375,-3.17625,-536.434,-925.492,-220.82,213.0956,117.2172,-244.8114,22.90611,19.86845
1740486669547,-0.175,32.48875,-2.80875,-531.554,-916.952,-220.698,217.4803,124.8173,-233.5574,22.90611,19.86845
1740486669549,0.105,32.095,-2.905,-536.068,-912.682,-211.67,216.0187,123.3557,-233.8497,22.90611,19.86845
1740486669550,0.46375,31.6925,-2.7475,-531.432,-904.142,-210.328,218.6495,121.3096,-239.696,22.90611,19.86845
1740486669551,0.65625,31.08875,-2.345,-540.826,-897.066,-211.182,220.4034,124.2327,-234.8728,22.90611,19.86845
1740486669552,0.84,30.49375,-2.2225,-548.878,-888.282,-204.96,217.7726,130.0789,-238.3806,22.90611,19.86845
1740486669554,0.8225,29.12,-1.505,-557.418,-886.452,-214.598,215.7264,126.2789,-239.8421,22.90611,19.86845
1740486669555,0.875,27.825,-1.26,-562.176,-881.816,-209.108,210.1725,129.4943,-241.596,22.90611,19.86845
1740486669556,1.5575,26.31125,-0.70875,-556.93,-897.676,-195.81,207.2493,117.5095,-234.2882,22.90611,19.86845
1740486669558,2.3625,24.54375,0.0175,-550.83,-914.146,-206.424,213.3879,120.7249,-231.6574,22.90611,19.86845
1740486669559,3.3075,22.9425,1.015,-548.146,-915.976,-224.114,208.4186,127.4481,-235.6036,22.90611,19.86845
1740486669560,3.99875,21.27125,1.47,-548.878,-905.362,-228.506,208.1263,129.7866,-225.9573,22.90611,19.86845
1740486669561,4.1825,20.60625,1.1725,-562.42,-881.694,-206.058,206.3724,125.4019,-229.7574,22.90611,19.86845
1740486669562,3.85,19.8975,0.8925,-573.766,-864.736,-196.908,213.3879,130.9559,-227.8573,22.90611,19.86845
1740486669563,3.29875,19.005,0.74375,-571.692,-851.682,-195.81,212.8033,125.4019,-245.3961,22.90611,19.86845
1740486669565,2.695,18.13,0.7,-567.91,-844.484,-196.054,216.6033,124.8173,-236.0421,22.90611,19.86845
1740486669566,2.07375,17.36875,0.34125,-566.69,-828.624,-195.322,220.988,124.525,-233.119,22.90611,19.86845
1740486669567,1.49625,16.7125,0.42875,-557.906,-813.984,-193.492,216.0187,120.1403,-235.019,22.90611,19.86845
1740486669569,0.4725,15.9775,0.14875,-554.124,-795.562,-189.1,213.9725,121.6019,-242.6191,22.90611,19.86845
1740486669570,-0.70875,15.25125,0.21875,-547.78,-794.708,-187.148,215.1418,127.7404,-229.1727,22.90611,19.86845
1740486669571,-1.68,14.4725,0.41125,-544.486,-778.116,-185.196,221.2803,123.648,-244.0807,22.90611,19.86845
1740486669572,-2.8175,13.3,0.77875,-541.436,-781.898,-185.196,220.988,125.1096,-237.3575,22.90611,19.86845
1740486669574,-3.815,12.15375,1.1375,-533.018,-776.652,-181.658,220.1111,124.2327,-253.8731,22.90611,19.86845
1740486669575,-4.94375,11.0075,1.5575,-531.432,-781.654,-172.874,216.311,125.1096,-231.3651,22.90611,19.86845
1740486669576,-5.95,9.94,1.9075,-524.722,-781.898,-177.876,214.8494,123.9404,-248.0269,22.90611,19.86845
1740486669578,-6.92125,8.89875,2.09125,-522.282,-775.432,-176.534,209.0032,118.6787,-240.8652,22.90611,19.86845
1740486669579,-7.77875,8.00625,2.47625,-511.18,-770.064,-176.412,206.3724,121.6019,-232.242,22.90611,19.86845
1740486669580,-8.89875,7.18375,2.5375,-499.468,-769.698,-181.902,207.834,123.648,-245.8345,22.90611,19.86845
1740486669581,-9.79125,6.5975,2.975,-490.074,-771.04,-183.0,204.3262,123.9404,-233.2651,22.90611,19.86845
1740486669583,-10.66625,6.02,3.15,-486.292,-782.63,-186.782,210.1725,116.9249,-232.3882,22.90611,19.86845
1740486669583,-11.26125,5.73125,3.6925,-484.34,-794.586,-184.22,209.2955,120.1403,-255.4808,22.90611,19.86845
1740486669585,-11.82125,5.71375,4.0775,-474.946,-803.37,-183.244,215.1418,120.1403,-231.8036,22.90611,19.86845
1740486669586,-12.285,5.55625,4.45375,-468.602,-808.006,-183.732,214.2648,119.2634,-245.9807,22.90611,19.86845
1740486669587,-12.71375,5.46875,4.795,-461.16,-817.034,-179.34,213.9725,122.1865,-237.0652,22.90611,19.86845
1740486669589,-12.99375,5.55625,4.97,-453.84,-823.5,-180.682,218.6495,125.1096,-233.119,22.90611,19.86845
1740486669590,-12.88,5.74,5.4425,-451.644,-831.186,-178.12,211.3417,119.2634,-233.7036,22.69518,20.4806
1740486669591,-12.64375,5.88,5.95,-463.478,-819.596,-180.926,221.2803,124.525,-236.0421,22.69518,20.4806
1740486669592,-12.99375,5.92375,6.58,-459.818,-817.278,-185.196,217.1879,131.2482,-237.0652,22.69518,20.4806
1740486669594,-13.29125,5.83625,7.1225,-461.892,-825.696,-180.194,210.1725,121.0172,-229.3189,22.69518,20.4806
1740486669595,-13.72,5.6875,7.735,-452.376,-822.89,-188.734,220.6957,128.325,-251.3885,22.69518,20.4806
1740486669596,-14.0175,5.60875,8.26,-451.766,-829.234,-195.688,218.3572,116.0479,-242.0345,22.69518,20.4806
1740486669598,-14.48125,5.50375,8.58375,-439.566,-849.364,-213.134,214.2648,127.7404,-233.7036,22.69518,20.4806
1740486669599,-13.1425,4.83,8.89,-398.696,-935.374,-194.59,213.9725,125.1096,-245.1038,22.69518,20.4806
1740486669600,-9.52875,3.59625,9.905,-386.008,-980.026,-195.932,219.5264,120.1403,-231.9497,22.69518,20.4806
1740486669601,-6.9475,4.0775,11.05125,-394.67,-931.958,-178.608,207.5416,128.9097,-241.1575,22.69518,20.4806
1740486669603,-5.62625,3.96375,11.9875,-434.808,-937.082,-194.468,213.0956,127.4481,-234.4344,22.69518,20.4806
1740486669604,-3.10625,2.96625,13.72875,-464.82,-976.61,-228.018,211.9263,122.4788,-230.7805,22.69518,20.4806
1740486669605,-0.105,0.95375,15.6975,-463.844,-972.218,-255.224,216.8956,119.848,-228.442,22.69518,20.4806
1740486669606,1.81125,-1.37375,17.5525,-527.162,-1029.436,-281.576,223.3265,128.0327,-230.0497,22.69518,20.4806
1740486669607,9.7825,-8.1025,21.48125,-591.822,-1312.842,-408.822,222.1573,125.9865,-232.6805,22.69518,20.4806
1740486669609,20.32625,-13.7025,25.7775,-464.088,-1167.906,-375.272,220.1111,122.1865,-235.1651,22.69518,20.4806
1740486669610,20.545,-13.01125,26.32875,-534.36,-1045.906,-230.702,226.8342,128.0327,-227.8573,22.69518,20.4806
1740486669611,21.55125,-15.19,26.90625,-479.582,-1006.378,-274.744,222.1573,128.0327,-239.2575,22.69518,20.4806
1740486669612,22.505,-13.04625,26.53,-464.82,-939.156,-264.13,230.342,125.4019,-231.0728,22.69518,20.4806
1740486669614,22.09375,-10.5,25.76875,-483.852,-870.836,-244.488,221.8649,128.0327,-236.7729,22.69518,20.4806
1740486669615,20.01125,-9.065,24.64875,-502.274,-824.964,-226.92,214.5571,126.5712,-240.1344,22.69518,20.4806
1740486669616,17.5175,-8.05875,23.26625,-498.736,-805.078,-222.894,216.0187,120.4326,-234.4344,22.69518,20.4806
1740486669618,14.875,-7.56875,21.84,-527.04,-758.962,-211.426,210.7571,120.1403,-237.5036,22.69518,20.4806
1740486669619,8.49625,-10.955,19.355,-582.184,-644.16,-253.15,208.4186,116.6326,-240.1344,22.69518,20.4806
1740486669620,0.58625,-16.3625,16.89625,-456.89,-769.454,-265.96,216.8956,119.5557,-238.2344,22.69518,20.4806
1740486669621,-2.38875,-18.33125,15.09375,-496.052,-670.39,-284.382,212.8033,121.8942,-230.7805,22.69518,20.4806
1740486669623,-22.98625,-36.155,8.5925,-436.638,-185.44,-628.544,219.5264,121.3096,-238.5267,22.69518,20.4806
