Timestamp [ms][dev],Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740486828964,6.8075,-0.9275,12.915,-132.248,-936.716,-457.378,127.7404,139.4329,52.03157,22.23327,21.01456
1740486828965,7.09625,-1.2425,12.7575,-147.498,-936.472,-462.624,131.2482,143.5253,60.21631,22.23327,21.01456
1740486828966,6.8075,-1.995,12.24125,-154.818,-933.544,-470.554,123.0634,139.7252,45.30839,22.23327,21.01456
1740486828967,6.965,-2.33625,12.39,-163.48,-938.302,-473.604,114.0017,140.8945,40.33908,22.23327,21.01456
1740486828969,6.53625,-2.73,11.94375,-163.602,-942.816,-467.504,120.1403,135.0482,49.69307,22.23327,21.01456
1740486828970,6.2825,-3.3075,12.1975,-154.086,-940.62,-464.088,119.2634,138.2637,44.86992,22.23327,21.01456
1740486828971,5.92375,-3.22875,11.76875,-152.866,-943.06,-468.236,120.1403,140.3098,46.47763,22.23327,21.01456
1740486828973,5.97625,-3.07125,11.66375,-156.648,-940.864,-473.848,114.5864,135.9252,41.80064,22.23327,21.01456
1740486828974,5.83625,-3.29,11.585,-161.04,-938.302,-467.992,119.5557,133.5867,49.98538,22.23327,21.01456
1740486828975,5.32,-3.9375,11.50625,-145.058,-939.644,-472.262,116.9249,137.3867,46.47763,22.23327,21.01456
1740486828976,4.75125,-4.6025,11.9175,-135.786,-943.06,-474.946,120.1403,135.6328,45.45454,22.23327,21.01456
1740486828978,4.40125,-4.99625,11.75125,-132.736,-953.918,-475.068,122.7711,136.8021,38.00058,22.23327,21.01456
1740486828979,4.375,-5.08375,11.90875,-130.296,-954.04,-485.926,122.4788,139.4329,51.30079,22.23327,21.01456
1740486828980,4.34,-5.3025,11.40125,-130.662,-949.038,-485.926,121.3096,142.0637,47.50073,22.23327,21.01456
1740486828981,4.41,-5.635,11.55875,-131.516,-946.598,-487.024,121.3096,142.0637,40.92371,22.23327,21.01456
1740486828982,4.33125,-6.09,11.24375,-123.708,-940.132,-482.388,134.1713,144.1099,54.95469,22.23327,21.01456
1740486828984,4.2175,-6.4225,11.445,-117.974,-939.156,-485.56,123.3557,141.4791,46.62379,22.23327,21.01456
1740486828985,4.08625,-6.79,11.165,-119.926,-935.496,-485.438,124.525,137.679,41.9468,22.23327,21.01456
1740486828986,3.9025,-7.07,11.0775,-114.802,-930.372,-488.244,121.0172,139.7252,46.47763,22.23327,21.01456
1740486828987,3.84125,-7.27125,11.0425,-122.488,-931.226,-494.954,122.4788,137.679,47.35457,22.23327,21.01456
1740486828989,3.73625,-7.44625,10.49125,-113.216,-931.47,-493.734,118.3864,135.3405,59.77784,22.23327,21.01456
1740486828990,3.71,-7.63875,10.14125,-109.434,-925.004,-491.538,114.5864,137.679,45.6007,22.23327,21.01456
1740486828991,3.465,-7.735,9.695,-107.848,-923.54,-491.904,116.3402,135.0482,44.28529,22.23327,21.01456
1740486828993,3.185,-7.56875,9.77375,-107.238,-924.15,-497.76,119.848,141.7714,46.03917,22.23327,21.01456
1740486828994,2.87875,-7.665,9.49375,-103.822,-926.712,-500.2,116.6326,131.8328,47.06226,22.23327,21.01456
1740486828995,2.68625,-7.67375,9.52,-104.31,-925.492,-498.98,125.4019,138.2637,45.74686,22.23327,21.01456
1740486828996,2.66,-7.6825,9.33625,-100.284,-929.884,-501.298,124.2327,135.9252,48.96229,22.23327,21.01456
1740486828998,2.6775,-7.42875,9.16125,-96.624,-925.004,-505.812,128.6174,134.4636,48.96229,22.23327,21.01456
1740486828999,2.835,-7.18375,8.9425,-90.768,-925.126,-504.958,130.0789,135.6328,49.69307,22.23327,21.01456
