Timestamp [ms][dev],Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740486862405,7.91875,0.805,3.885,-61.732,-892.918,-432.368,110.7863,159.8948,34.63899,20.67666,24.53107
1740486862407,7.805,1.02375,4.45375,-77.104,-889.502,-431.026,106.6939,154.0485,17.24642,20.67666,24.53107
1740486862408,7.60375,0.93625,4.3925,-82.838,-898.53,-426.878,106.9863,156.9716,26.74656,20.67666,24.53107
1740486862409,7.2975,0.86625,5.01375,-102.724,-898.774,-423.462,107.2786,152.0023,31.42356,20.67666,24.53107
1740486862411,7.00875,0.55125,4.9875,-107.97,-905.728,-418.338,104.0631,156.9716,12.42327,20.67666,24.53107
1740486862412,6.65,-0.00875,5.4775,-116.876,-913.658,-416.996,96.75533,153.1716,28.20812,20.67666,24.53107
1740486862413,6.88625,-0.4025,5.38125,-120.17,-920.368,-415.532,102.8939,158.7255,32.88512,20.67666,24.53107
1740486862414,6.79875,-1.02375,5.53875,-128.222,-924.638,-413.336,100.5554,154.9254,33.90821,20.67666,24.53107
1740486862416,7.13125,-1.68875,5.39875,-133.468,-930.372,-411.872,107.2786,155.2178,46.03917,20.67666,24.53107
1740486862416,7.28875,-2.30125,5.2325,-139.446,-928.298,-412.97,96.75533,159.3101,38.43905,20.67666,24.53107
1740486862418,7.21,-3.0975,5.355,-134.322,-928.786,-414.922,108.4478,157.2639,31.42356,20.67666,24.53107
1740486862419,7.1575,-3.78875,5.0225,-136.152,-928.054,-411.994,99.97076,160.4794,37.2698,20.67666,24.53107
1740486862420,6.95625,-4.5325,5.25,-130.174,-928.42,-415.41,108.4478,162.2333,41.9468,20.67666,24.53107
1740486862422,7.0525,-5.2675,4.935,-126.148,-922.93,-418.582,104.0631,158.4332,34.9313,20.67666,24.53107
1740486862423,7.09625,-6.055,5.145,-126.88,-929.884,-418.582,106.6939,158.4332,28.79275,20.67666,24.53107
1740486862424,7.105,-6.58,5.08375,-127.49,-925.004,-420.656,109.3248,157.8486,20.90032,20.67666,24.53107
1740486862425,6.88625,-7.28,5.11875,-121.634,-927.566,-419.68,107.5709,154.3408,23.9696,20.67666,24.53107
1740486862427,6.55375,-7.84,5.0225,-116.632,-923.052,-423.828,99.97076,155.8024,26.3081,20.67666,24.53107
1740486862428,6.5275,-8.295,4.96125,-113.948,-921.222,-424.926,101.7246,148.2023,20.3157,20.67666,24.53107
1740486862429,6.3875,-8.70625,4.99625,-101.382,-918.66,-422.73,103.7708,157.5563,29.08506,20.67666,24.53107
1740486862431,6.25625,-9.205,4.76875,-100.04,-914.756,-423.218,103.1862,158.7255,31.71587,20.67666,24.53107
1740486862432,5.9325,-9.61625,4.83,-100.772,-918.538,-418.582,101.7246,151.1254,35.9544,20.67666,24.53107
1740486862433,5.81875,-10.0625,4.29625,-96.99,-921.1,-421.876,98.21689,155.8024,32.3005,20.67666,24.53107
1740486862434,5.775,-10.3075,4.40125,-86.742,-917.074,-426.024,104.9401,151.4177,33.17743,20.67666,24.53107
1740486862436,5.6525,-10.57,3.9725,-82.228,-915.366,-426.756,98.80151,159.8948,33.6159,20.67666,24.53107
1740486862437,5.46,-10.77125,4.0425,-81.618,-916.464,-431.148,104.0631,162.2333,30.83893,20.67666,24.53107
1740486862438,5.11,-10.9725,3.77125,-73.444,-913.048,-430.904,109.0324,155.2178,36.39286,20.67666,24.53107
1740486862439,4.865,-10.98125,3.75375,-67.954,-916.586,-429.562,108.7401,162.5256,44.57761,20.67666,24.53107
1740486862440,4.48,-10.96375,3.6925,-62.83,-910.73,-433.222,107.8632,156.0947,36.24671,20.67666,24.53107
1740486862442,4.3575,-10.745,3.5525,-54.9,-915.0,-433.588,106.6939,165.1564,41.9468,20.67666,24.53107
1740486862443,4.15625,-10.71,3.56125,-57.218,-918.416,-430.66,114.0017,163.4025,39.31599,20.67666,24.53107
1740486862444,3.92,-10.5525,3.325,-49.288,-920.002,-435.662,104.6478,166.9102,40.04677,20.67666,24.53107
1740486862445,3.66625,-10.36875,3.4475,-46.482,-918.05,-434.93,102.6016,161.064,25.285,20.67666,24.53107
1740486862447,3.56125,-10.21125,3.15,-46.36,-923.54,-434.808,100.5554,159.6024,28.06197,20.67666,24.53107
1740486862448,3.17625,-10.05375,3.10625,-41.114,-923.052,-431.148,98.5092,156.6793,22.36188,20.67666,24.53107
1740486862449,3.21125,-9.8525,2.98375,-36.722,-927.444,-435.784,103.4785,152.2946,25.57731,20.67666,24.53107
1740486862450,3.12375,-9.51125,3.00125,-32.94,-926.59,-437.736,103.4785,159.0178,11.9848,20.67666,24.53107
1740486862452,2.82625,-9.2225,2.98375,-26.84,-922.442,-435.296,96.46302,158.1409,31.56972,20.67666,24.53107
1740486862453,2.5725,-8.75875,2.975,-21.838,-930.86,-435.662,108.1555,158.4332,26.74656,20.67666,24.53107
1740486862454,2.2925,-8.47,2.80875,-20.008,-928.664,-430.904,102.8939,147.3253,23.38497,20.67666,24.53107
1740486862456,2.2225,-7.8225,2.835,-17.69,-930.25,-431.27,101.7246,154.0485,31.56972,20.67666,24.53107
