Timestamp [ms][dev],Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740487015168,13.72875,10.8675,13.7375,-10.004,-744.566,59.048,281.4966,-28.64659,-474.2765,20.92764,24.04669
1740487015169,28.04375,24.5175,34.4925,11.346,-309.026,105.042,280.6197,-29.23122,-456.007,20.92764,24.04669
1740487015171,38.1325,32.0775,61.2325,-90.89,-351.848,304.634,282.0812,-30.40047,-460.3917,20.92764,24.04669
1740487015172,39.5325,38.80625,60.83875,-179.462,-526.064,189.71,276.235,-35.66209,-458.0532,20.92764,24.04669
1740487015173,30.695,41.22125,37.51125,-452.132,-515.816,253.76,277.9889,-30.10815,-456.007,20.92764,24.04669
1740487015174,20.1075,34.7375,20.76375,-648.552,-659.166,399.672,278.8658,-34.78515,-443.5837,20.36694,25.16229
1740487015176,14.28875,28.67375,12.50375,-833.382,-835.944,371.612,278.5735,-35.66209,-444.0222,20.36694,25.16229
1740487015177,12.2325,24.7975,5.99375,-997.228,-960.872,252.54,278.5735,-37.12365,-446.5068,20.36694,25.16229
1740487015178,12.3725,20.92125,0.21,-1093.12,-985.882,222.406,281.7889,-34.49284,-442.4145,20.36694,25.16229
1740487015180,11.9175,16.73875,-2.8875,-1123.986,-897.188,263.886,275.6504,-34.20052,-441.0991,20.36694,25.16229
1740487015181,8.96,11.82125,-1.2075,-1118.862,-885.11,303.414,276.5273,-45.30839,-440.076,20.36694,25.16229
1740487015182,5.64375,6.23,0.42,-1094.34,-876.326,319.274,284.1274,-35.9544,-461.9994,20.36694,25.16229
1740487015183,2.45,0.07,1.925,-1039.44,-826.428,322.446,279.4504,-36.83133,-459.807,20.36694,25.16229
1740487015185,-1.0675,-5.5475,3.61375,-974.048,-799.222,310.002,283.5428,-40.92371,-457.6147,20.36694,25.16229
1740487015186,-4.24375,-9.73875,4.97,-897.31,-785.192,277.794,283.5428,-37.12365,-453.6685,20.36694,25.16229
1740487015187,-6.86875,-12.92375,5.95875,-820.45,-788.242,251.442,287.9275,-34.78515,-459.807,20.36694,25.16229
1740487015188,-8.6625,-14.7525,5.7575,-726.754,-792.39,223.26,284.1274,-33.90821,-455.5685,20.36694,25.16229
1740487015189,-9.89625,-15.21625,5.32875,-637.572,-797.758,197.152,288.2198,-39.46214,-454.3993,20.36694,25.16229
1740487015191,-10.2375,-14.67375,4.57625,-564.494,-804.712,175.558,281.7889,-29.81584,-450.5992,20.36694,25.16229
1740487015192,-9.5725,-13.09875,3.8325,-502.03,-807.152,164.944,270.9734,-38.58521,-447.0915,20.36694,25.16229
1740487015193,-8.435,-10.80625,2.87,-451.4,-808.372,155.55,278.5735,-35.36977,-447.9684,20.36694,25.16229
1740487015194,-6.88625,-8.12875,1.98625,-409.92,-807.762,154.33,280.912,-35.9544,-455.1301,20.36694,25.16229
1740487015196,-5.13625,-5.145,1.365,-393.938,-806.42,156.77,282.6659,-34.49284,-449.8684,20.36694,25.16229
1740487015197,-3.3425,-1.91625,1.09375,-386.374,-807.274,167.018,281.2043,-40.04677,-441.976,20.36694,25.16229
1740487015198,-1.6975,1.09375,0.8925,-397.476,-805.444,172.264,278.2812,-37.70827,-454.107,20.36694,25.16229
1740487015199,-0.35,4.235,0.5775,-424.926,-808.616,179.828,288.5121,-34.78515,-456.2993,20.36694,25.16229
1740487015201,1.04125,6.9825,0.60375,-463.356,-805.566,186.904,283.5428,-41.21601,-446.5068,20.36694,25.16229
1740487015202,2.0825,9.4325,0.4725,-502.274,-803.736,190.93,284.4197,-35.9544,-453.8147,20.36694,25.16229
1740487015203,2.94875,11.08625,0.49,-546.072,-804.834,202.886,282.9582,-38.2929,-462.7302,20.36694,25.16229
1740487015205,3.4475,12.39,0.3675,-596.702,-799.1,216.55,285.8813,-36.53902,-447.2376,20.36694,25.16229
1740487015206,3.675,12.88875,0.105,-631.106,-791.414,219.844,286.4659,-34.78515,-453.9608,20.36694,25.16229
1740487015207,3.5175,12.7925,-0.1925,-665.266,-783.24,221.918,290.8506,-38.00058,-453.5223,20.36694,25.16229
1740487015208,3.12375,12.2325,-0.39375,-692.472,-777.262,227.774,289.0967,-31.2774,-459.0763,20.36694,25.16229
