Timestamp [ms][dev],Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740487040193,-0.88375,-5.6875,-1.5925,-662.094,-763.842,232.044,323.2973,-44.43145,-419.9064,20.50311,24.72368
1740487040195,-0.175,-5.17125,-1.72375,-657.946,-765.062,230.824,330.8974,-45.89301,-433.2066,20.50311,24.72368
1740487040196,0.0525,-4.55875,-1.89,-654.896,-758.84,231.312,324.1742,-45.30839,-431.5989,20.50311,24.72368
1740487040197,0.315,-4.0775,-1.51375,-659.044,-757.498,231.068,326.2204,-48.52382,-423.1219,20.50311,24.72368
1740487040198,0.4725,-3.4475,-1.9775,-663.802,-753.96,231.068,321.2511,-50.57001,-431.3066,20.50311,24.72368
1740487040200,0.37625,-2.9575,-1.155,-668.194,-759.206,231.678,320.0818,-45.01608,-433.3528,20.50311,24.72368
1740487040201,0.8225,-2.5725,-1.645,-673.44,-760.182,234.85,316.5741,-51.73925,-423.4142,20.50311,24.72368
1740487040202,1.225,-2.17875,-1.05,-676.368,-759.206,233.508,318.6203,-54.95469,-425.6065,20.50311,24.72368
1740487040204,1.4875,-1.91625,-1.54,-682.346,-761.158,236.924,320.6664,-50.86232,-437.0067,20.50311,24.72368
1740487040205,1.785,-1.68875,-1.2075,-686.494,-756.644,238.144,324.4665,-47.64688,-444.3145,20.50311,24.72368
1740487040206,1.63625,-1.63625,-1.6625,-688.568,-756.278,238.144,326.2204,-48.81613,-430.4297,20.50311,24.72368
1740487040207,1.61875,-1.40875,-1.68,-690.52,-753.472,237.778,327.6819,-53.20082,-426.4835,20.50311,24.72368
1740487040208,1.6625,-1.365,-1.6275,-699.914,-753.106,234.24,332.3589,-52.03157,-426.9219,20.50311,24.72368
1740487040209,1.6275,-1.42625,-2.10875,-699.914,-751.764,239.486,323.8819,-53.49313,-430.4297,20.50311,24.72368
1740487040211,1.53125,-1.4875,-1.7675,-700.89,-743.712,239.242,327.6819,-56.70856,-435.8375,20.50311,24.72368
1740487040212,1.645,-1.46125,-2.24,-701.378,-741.028,237.168,328.8512,-46.18532,-434.9605,20.50311,24.72368
1740487040213,1.56625,-1.56625,-1.785,-704.916,-742.492,243.146,323.8819,-54.07775,-437.0067,20.50311,24.72368
1740487040215,1.47,-1.61875,-2.24,-701.622,-737.978,243.146,323.8819,-52.9085,-436.1298,20.50311,24.72368
1740487040216,1.0675,-1.715,-1.77625,-694.668,-732.61,241.072,327.3896,-53.20082,-418.4449,20.50311,24.72368
1740487040217,1.11125,-1.89875,-2.03,-693.692,-728.828,241.072,328.8512,-47.64688,-419.1757,20.50311,24.72368
1740487040218,1.05875,-1.86375,-2.0825,-688.202,-727.974,239.486,320.0818,-52.61619,-419.0295,20.50311,24.72368
1740487040220,0.805,-1.9775,-2.1175,-683.322,-725.168,240.95,318.0356,-51.15463,-421.0757,20.50311,24.72368
1740487040221,0.945,-1.93375,-2.275,-682.102,-722.606,240.95,322.4203,-57.29319,-419.0295,20.3082,25.13177
1740487040222,0.8925,-1.88125,-2.1,-672.952,-722.484,238.632,321.5434,-59.04706,-413.7679,20.3082,25.13177
1740487040224,0.525,-1.81125,-2.49375,-670.878,-722.484,236.558,325.0511,-56.41625,-422.0988,20.3082,25.13177
1740487040225,0.25375,-1.6975,-2.17,-660.752,-720.776,230.702,322.128,-55.83163,-432.7682,20.3082,25.13177
1740487040226,0.25375,-1.54875,-2.7825,-662.582,-720.41,233.142,324.7588,-59.63168,-422.8296,20.3082,25.13177
1740487040227,0.28875,-1.49625,-2.5025,-656.36,-720.776,228.628,324.1742,-59.924,-429.1143,20.3082,25.13177
1740487040229,0.18375,-1.4525,-2.8,-654.164,-718.214,223.992,321.2511,-49.98538,-429.6989,20.3082,25.13177
1740487040229,0.4725,-1.19,-2.65125,-652.944,-722.728,221.43,323.0049,-52.32388,-429.2604,20.3082,25.13177
1740487040231,0.25375,-1.05,-2.6425,-656.116,-726.51,219.112,326.5127,-51.15463,-437.0067,20.3082,25.13177
1740487040232,0.315,-0.77,-2.96625,-654.652,-724.436,217.526,319.4972,-48.52382,-436.4221,20.3082,25.13177
1740487040233,0.1575,-0.63875,-2.77375,-657.458,-722.972,210.572,313.9433,-51.15463,-431.5989,20.3082,25.13177
1740487040235,-0.07,-0.27125,-3.08875,-653.188,-715.408,197.396,320.0818,-50.86232,-425.7527,20.3082,25.13177
1740487040236,-0.56875,0.37625,-2.82625,-643.184,-715.286,193.614,319.4972,-52.9085,-416.9833,20.3082,25.13177
1740487040237,-0.55125,1.25125,-3.26375,-642.33,-730.048,209.84,324.4665,-51.73925,-425.7527,20.3082,25.13177
1740487040238,0.07,1.4875,-2.9925,-643.428,-740.174,216.916,322.128,-49.10844,-430.2835,20.3082,25.13177
1740487040240,0.16625,1.12,-3.40375,-639.402,-738.222,212.646,319.4972,-53.78544,-434.0836,20.3082,25.13177
1740487040241,0.07875,0.97125,-3.22,-649.894,-736.392,203.13,318.328,-50.57001,-428.6758,20.3082,25.13177
1740487040242,0.49,0.945,-3.31625,-651.48,-740.662,198.128,321.2511,-53.49313,-414.9371,20.3082,25.13177
1740487040243,0.735,1.12,-3.26375,-652.334,-738.1,196.908,322.7126,-49.10844,-429.8451,20.3082,25.13177
1740487040245,0.91,1.26875,-3.28125,-657.336,-740.906,199.348,318.0356,-52.32388,-423.4142,20.3082,25.13177
