Timestamp,Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740564257195,13.72875,22.96,-5.99375,-625.86,-649.772,363.316,193.5107,-162.5256,-346.6823,24.06223,21.21861
1740564257196,13.7725,22.74125,-5.95875,-634.766,-652.456,363.438,190.8799,-166.0333,-356.767,24.06223,21.21861
1740564257198,13.7025,22.49625,-6.11625,-645.746,-652.822,362.34,185.9105,-163.4025,-344.4899,24.06223,21.21861
1740564257199,13.39625,22.12875,-5.52125,-651.846,-653.188,358.924,190.2952,-170.1257,-341.7129,24.06223,21.21861
1740564257200,13.01125,21.55125,-6.04625,-656.238,-650.26,362.462,185.3259,-172.1719,-346.3899,24.06223,21.21861
1740564257202,12.4075,21.06125,-5.64375,-664.412,-655.506,357.948,185.9105,-170.7103,-350.9208,24.06223,21.21861
1740564257203,12.08375,20.39625,-6.02,-667.706,-649.04,359.168,188.249,-167.7872,-355.0131,24.06223,21.21861
1740564257204,11.92625,19.845,-5.80125,-660.996,-649.162,362.34,186.4952,-165.741,-345.6591,24.06223,21.21861
1740564257205,11.6375,19.27625,-6.13375,-656.848,-647.454,359.656,184.449,-166.3256,-344.3438,24.06223,21.21861
1740564257207,11.515,18.935,-6.11625,-653.188,-651.724,359.412,193.5107,-168.6641,-339.3744,24.06223,21.21861
1740564257208,11.2,18.305,-6.055,-650.748,-649.162,360.754,194.3876,-169.8334,-346.5361,24.06223,21.21861
1740564257209,10.885,17.85875,-6.18625,-645.258,-651.968,361.608,178.3104,-174.5104,-348.7284,24.06223,21.21861
1740564257210,10.26375,17.535,-5.915,-637.694,-652.822,362.95,189.7106,-163.9871,-352.9669,24.06223,21.21861
1740564257211,10.185,17.255,-6.15125,-630.618,-661.24,362.218,180.6489,-170.1257,-356.3286,24.06223,21.21861
1740564257213,10.0275,17.0275,-5.565,-628.544,-664.534,364.536,191.7568,-163.1102,-346.3899,24.06223,21.21861
1740564257214,10.0625,16.7475,-5.8975,-634.278,-665.022,360.51,192.3414,-168.0795,-360.4209,24.06223,21.21861
1740564257215,9.72125,16.61625,-5.3375,-634.4,-665.266,364.414,188.8337,-166.6179,-354.1362,24.06223,21.21861
1740564257216,9.485,16.51125,-5.66125,-633.668,-662.46,364.78,183.8644,-171.5872,-345.0745,24.06223,21.21861
1740564257218,9.1,16.345,-5.3375,-631.106,-657.092,368.074,187.3721,-165.4487,-345.0745,24.06223,21.21861
1740564257219,8.98625,16.26625,-5.145,-628.178,-658.312,367.342,185.0336,-164.5718,-347.8515,24.06223,21.21861
1740564257220,8.75875,16.14375,-5.0225,-630.74,-659.532,369.782,192.3414,-166.9102,-339.3744,24.06223,21.21861
1740564257222,8.40875,15.7675,-4.76,-634.034,-654.408,367.342,183.8644,-166.9102,-352.9669,24.06223,21.21861
1740564257223,8.0675,15.47875,-4.99625,-636.108,-654.774,365.634,188.249,-172.1719,-351.6516,24.06223,21.21861
1740564257224,7.90125,15.085,-4.45375,-637.206,-658.19,363.316,190.5875,-166.9102,-356.1824,24.06223,21.21861
1740564257225,7.42,14.74375,-4.78625,-643.916,-663.924,364.536,187.6644,-163.9871,-350.0438,24.06223,21.21861
1740564257227,7.2975,14.20125,-4.4975,-645.868,-662.582,369.538,187.3721,-161.064,-349.6053,24.06223,21.21861
1740564257228,7.09625,13.9125,-4.6375,-649.162,-666.608,375.028,192.926,-169.2487,-352.3823,24.06223,21.21861
1740564257229,7.1575,13.58,-4.3225,-651.968,-669.292,376.004,187.6644,-170.7103,-345.8053,24.06223,21.21861
1740564257230,6.88625,13.09,-4.34,-658.8,-670.39,385.276,190.2952,-170.418,-354.4285,24.06223,21.21861
1740564257231,6.74625,12.635,-4.33125,-659.166,-663.314,389.302,190.2952,-168.0795,-346.6823,24.06223,21.21861
1740564257233,6.74625,12.25,-4.165,-670.878,-660.508,398.696,191.4645,-171.2949,-344.1976,24.06223,21.21861
1740564257234,6.5275,11.83,-4.2,-670.756,-658.556,402.966,192.3414,-168.9564,-338.2052,24.06223,21.21861
1740564257235,6.58,11.4975,-3.94625,-669.78,-658.19,404.308,195.5568,-169.5411,-345.0745,24.06223,21.21861
1740564257236,6.4575,11.0075,-4.36625,-674.294,-655.384,407.968,189.7106,-166.3256,-345.3668,24.06223,21.21861
1740564257238,6.51875,10.64,-4.05125,-671.976,-655.506,409.92,188.8337,-173.3411,-343.7591,24.06223,21.21861
1740564257239,6.46625,10.26375,-4.305,-668.56,-653.188,414.556,194.6799,-171.8796,-344.7822,24.06223,21.21861
1740564257240,6.4575,9.98375,-4.27,-668.072,-655.994,415.776,187.0798,-169.2487,-352.09,24.06223,21.21861
1740564257242,6.39625,9.70375,-4.305,-671.122,-653.31,419.68,191.7568,-171.5872,-340.836,24.06223,21.21861
1740564257243,6.27375,9.61625,-4.3925,-664.534,-652.456,424.804,194.3876,-168.6641,-342.5899,24.06223,21.21861
1740564257244,6.41375,9.485,-4.4975,-659.044,-655.14,424.072,189.4183,-163.6948,-349.4592,24.06223,21.21861
1740564257245,6.3,9.61625,-4.47125,-657.092,-651.48,425.048,188.8337,-168.9564,-351.5054,24.06223,21.21861
1740564257247,6.41375,9.6775,-4.29625,-654.896,-652.334,428.708,187.0798,-168.3718,-349.313,24.06223,21.21861
1740564257248,6.51,9.94875,-4.52375,-650.626,-654.408,427.244,194.9722,-166.3256,-344.1976,24.06223,21.21861
1740564257249,6.62375,10.07125,-4.4625,-645.746,-657.214,427.244,192.926,-168.0795,-350.9208,24.06223,21.21861
1740564257250,6.93,10.61375,-4.725,-638.67,-656.238,425.902,191.4645,-168.9564,-338.7898,24.06223,21.21861
1740564257251,7.175,11.05125,-4.41875,-635.986,-658.678,430.05,190.0029,-171.0026,-343.4668,24.06223,21.21861
1740564257253,7.41125,11.31375,-4.41,-638.792,-659.288,436.028,191.4645,-169.5411,-345.0745,24.06223,21.21861
1740564257254,7.42875,11.89125,-4.36625,-639.524,-657.946,441.884,193.803,-163.6948,-341.7129,24.06223,21.21861
1740564257255,7.6475,12.25875,-4.27875,-640.5,-655.262,444.324,193.803,-172.7565,-345.2207,24.06223,21.21861
1740564257256,7.8575,12.425,-4.305,-650.016,-653.31,446.642,187.0798,-171.0026,-340.2514,24.06223,21.21861
1740564257258,7.9975,12.48625,-3.96375,-653.188,-661.118,454.45,195.8492,-168.0795,-350.19,24.06223,21.21861
1740564257259,8.16375,12.67875,-4.2525,-655.506,-659.044,452.132,184.1567,-175.095,-346.9745,24.06223,21.21861
1740564257260,8.18125,12.67,-3.92875,-657.092,-658.922,454.694,190.8799,-170.1257,-337.3282,24.06223,21.21861
1740564257262,8.33,12.67,-4.34,-652.7,-655.384,459.696,188.249,-166.3256,-346.0976,24.06223,21.21861
1740564257263,8.33,12.7575,-4.2,-648.064,-656.726,454.572,189.126,-166.3256,-344.9284,24.06223,21.21861
1740564257264,8.49625,12.76625,-4.515,-643.794,-658.678,453.596,186.2029,-165.4487,-339.2283,24.06223,21.21861
1740564257265,8.5225,12.8975,-4.43625,-633.79,-660.386,448.228,185.6182,-166.9102,-342.736,24.06223,21.21861
