Timestamp,Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740566930645,2.21375,24.54375,-14.97125,-43.31,-632.082,584.99,-65.18562,-81.26279,-515.2002,25.58412,17.68303
1740566930645,2.44125,24.5175,-14.7175,-40.87,-633.18,583.404,-71.03186,-84.77053,-506.4308,25.58412,17.68303
1740566930647,2.24875,24.56125,-15.02375,-42.212,-638.67,590.114,-66.64718,-83.30897,-521.3387,25.58412,17.68303
1740566930648,2.135,24.3775,-14.62125,-38.552,-638.304,596.824,-72.49342,-83.30897,-518.7079,25.58412,17.68303
1740566930649,1.65375,24.3075,-15.12875,-41.846,-639.768,599.02,-75.12423,-82.72434,-510.0847,25.58412,17.68303
1740566930650,1.21625,24.22875,-14.77,-40.016,-639.768,604.388,-69.86261,-85.06284,-518.5618,25.58412,17.68303
1740566930652,1.00625,24.05375,-14.93625,-39.528,-640.5,608.536,-69.86261,-87.40134,-509.7924,25.58412,17.68303
1740566930653,1.12875,23.87875,-14.665,-35.502,-640.988,611.708,-71.61649,-81.5551,-505.7001,25.58412,17.68303
1740566930654,0.9975,23.6425,-14.6475,-41.358,-643.306,613.172,-69.5703,-80.97047,-514.4694,25.58412,17.68303
1740566930656,0.98,23.58125,-14.42875,-38.796,-645.502,617.808,-71.9088,-82.72434,-511.5463,25.58412,17.68303
1740566930657,0.6825,23.35375,-14.27125,-44.286,-657.458,617.32,-70.44724,-79.80122,-514.3232,25.58412,17.68303
1740566930658,0.39375,23.1875,-14.44625,-42.944,-648.674,623.664,-71.03186,-84.77053,-503.0692,25.58412,17.68303
1740566930659,0.245,22.9075,-14.105,-43.676,-652.212,620.37,-67.52411,-84.47822,-497.6615,25.58412,17.68303
1740566930661,-0.0175,22.74125,-14.1925,-42.456,-649.406,624.518,-71.32417,-81.5551,-505.9924,25.58412,17.68303
1740566930662,-0.2275,22.42625,-13.60625,-42.09,-654.53,626.836,-71.03186,-87.98596,-506.1385,25.58412,17.68303
1740566930663,-0.23625,22.25125,-13.64125,-46.116,-655.384,626.47,-70.44724,-84.77053,-517.9772,25.58412,17.68303
1740566930665,-0.525,21.9275,-13.265,-48.8,-659.044,627.934,-69.86261,-76.87811,-508.0386,25.58412,17.68303
1740566930666,-0.49,21.63,-13.37,-51.972,-658.678,630.984,-67.2318,-85.06284,-520.4619,25.58412,17.68303
1740566930667,-0.86625,21.21,-13.15125,-55.144,-657.458,631.594,-69.27798,-84.18591,-507.3078,25.58412,17.68303
1740566930668,-1.02375,20.95625,-12.99375,-55.144,-655.994,631.228,-76.29348,-80.09354,-507.7462,25.58412,17.68303
1740566930669,-1.1725,20.57125,-12.775,-57.462,-658.312,632.936,-72.49342,-81.26279,-516.2233,25.58412,17.68303
