Timestamp,Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740567281116,11.9175,-60.54125,-4.90875,-257.908,-927.078,374.296,75.70885,76.00117,-432.9143,-1.284088,-6.0
1740567281117,11.7425,-61.39,-5.145,-254.492,-916.708,376.37,83.01665,78.04735,-441.2452,-1.284088,-6.0
1740567281119,11.5325,-62.72,-5.075,-260.714,-912.316,383.324,78.63197,79.80122,-440.2221,-1.284088,-6.0
1740567281120,10.99,-64.4875,-4.50625,-237.778,-912.438,381.616,75.70885,81.5551,-441.5375,-1.284088,-6.0
1740567281121,10.325,-65.61625,-4.27,-228.75,-921.954,379.664,82.13972,74.5396,-433.9374,-1.284088,-6.0
1740567281123,9.8,-66.85,-3.2375,-232.654,-931.958,388.082,77.46272,77.75504,-439.3452,-1.284088,-6.0
1740567281124,9.33625,-68.0225,-3.0275,-232.41,-932.324,391.742,73.07804,78.33966,-442.1222,-1.284088,-6.0
1740567281125,9.07375,-69.50125,-2.10875,-224.48,-930.25,389.912,73.07804,77.75504,-446.3607,-1.284088,-6.0
1740567281126,8.715,-70.3325,-2.24,-209.84,-930.494,379.298,74.5396,79.2166,-438.176,-1.284088,-6.0
1740567281127,8.1025,-70.88375,-1.25125,-203.13,-926.712,382.104,75.12423,77.46272,-446.3607,-1.284088,-6.0
1740567281128,7.27125,-71.6275,-0.86625,-201.056,-930.494,385.032,75.12423,79.80122,-450.0146,-1.284088,-6.0
1740567281130,6.20375,-72.45,-0.34125,-200.08,-925.126,383.446,75.12423,79.80122,-445.0453,-1.284088,-6.0
1740567281131,5.38125,-73.45625,0.0875,-183.732,-921.832,378.078,74.24729,79.80122,-445.0453,-1.284088,-6.0
1740567281132,4.76875,-74.31375,0.21,-157.136,-919.88,367.464,75.70885,75.70885,-439.9298,-1.284088,-6.0
1740567281134,4.26125,-74.9175,1.07625,-138.714,-915.854,368.196,74.5396,76.00117,-440.6606,-1.284088,-6.0
1740567281135,3.2375,-75.38125,1.19,-124.684,-914.756,368.684,70.73955,72.78573,-444.753,-1.284088,-6.0
1740567281136,2.485,-75.74875,2.0125,-102.602,-915.854,362.706,71.61649,75.12423,-444.4607,-1.284088,-6.0
1740567281137,1.96,-75.81,2.02125,-81.374,-916.098,355.142,72.78573,68.69336,-454.3993,-1.284088,-6.0
1740567281139,1.21625,-75.67,2.94,-58.072,-911.096,347.09,79.2166,69.5703,-453.9608,-1.284088,-6.0
1740567281140,0.63,-75.36375,2.87875,-32.33,-910.974,334.402,76.29348,69.86261,-458.784,-1.284088,-6.0
1740567281141,0.385,-74.61125,3.22,-18.422,-912.316,335.988,72.78573,79.80122,-455.4224,-1.284088,-6.0
1740567281142,-0.09625,-73.9725,3.1325,3.782,-906.338,334.036,67.81642,81.84741,-444.8991,-1.284088,-6.0
1740567281144,-0.5775,-72.94875,3.07125,20.008,-903.776,323.178,72.78573,76.29348,-446.9453,-1.284088,-6.0
1740567281145,-0.84875,-71.70625,3.42125,38.308,-893.772,322.812,68.98567,68.98567,-438.176,-1.284088,-6.0
1740567281146,-1.47,-70.18375,3.325,50.63,-894.26,316.956,66.35487,67.81642,-440.5144,-1.284088,-6.0
1740567281147,-1.75875,-68.6175,3.68375,61.61,-895.602,310.368,77.17042,76.58579,-444.6068,-1.284088,-6.0
1740567281148,-2.03875,-66.92,3.395,76.86,-897.066,303.414,73.37035,76.00117,-445.0453,-1.284088,-6.0
1740567281150,-2.1175,-64.9425,3.7975,87.474,-894.504,301.95,66.06255,73.37035,-455.8608,-1.284088,-6.0
1740567281151,-2.42375,-63.06125,3.47375,95.526,-899.872,298.656,64.8933,74.24729,-449.5761,-1.284088,-6.0
1740567281152,-2.555,-61.04875,3.71875,91.622,-903.044,299.388,65.47793,71.32417,-441.5375,-1.284088,-6.0
1740567281154,-2.65125,-58.87875,3.4475,105.408,-904.752,300.12,66.06255,72.20111,-453.9608,-1.284088,-6.0
1740567281155,-2.94875,-56.65625,3.1325,111.874,-903.898,304.756,70.73955,74.83192,-458.3455,-1.284088,-6.0
1740567281156,-3.36,-54.31125,3.19375,114.314,-901.214,303.78,60.21631,72.20111,-447.8223,-1.284088,-6.0
1740567281157,-3.955,-51.98375,3.22875,118.706,-902.922,300.608,58.46244,66.93949,-454.107,-1.284088,-6.0
1740567281159,-4.2175,-49.665,3.4125,119.682,-915.366,296.826,59.924,70.73955,-451.9146,-1.284088,-6.0
